StartAll: Thu Jun 2 18:33:59 UTC 2016
Analyze: Thu Jun 2 18:34:16 UTC 2016
Analyze: 1 Thu Jun 2 18:34:30 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/Permissions/Calender.apk Thu Jun 2 18:34:50 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/Permissions/Camera.apk Thu Jun 2 18:34:53 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/Permissions/Contact.apk Thu Jun 2 18:34:55 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/Permissions/Localtion.apk Thu Jun 2 18:34:57 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/Permissions/SMS.apk Thu Jun 2 18:34:59 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/NoReferencePermissions/Calender.apk Thu Jun 2 18:35:01 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/NoReferencePermissions/Camera.apk Thu Jun 2 18:35:04 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/NoReferencePermissions/Contact.apk Thu Jun 2 18:35:06 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/NoReferencePermissions/Localtion.apk Thu Jun 2 18:35:08 UTC 2016
Analyze: /home/dxkvse/MPerm/MPermission/sample_apks/NoReferencePermissions/SMS.apk Thu Jun 2 18:35:10 UTC 2016
Analyze: /mnt/hgfs/shared/aaStow/MPermission/Comparision/otherApks/Gmail.apk Thu Jun 2 20:34:00 UTC 2016
